Rank,Module,Score,Incoming Dependencies,Outgoing Dependencies,Degree Centrality,Betweenness Centrality,Closeness Centrality,PageRank,Eigenvector Centrality,In Cycle,SCC Size
1,app.models,0.4500,17,1,0.473684,0.007468,0.452381,0.141780,0.009226,No,1
2,app.api.errors,0.2598,11,1,0.315789,0.002489,0.286550,0.042204,0.003075,No,1
